area_id,area_name,b05003f001,b05003f001_moe,b05003f002,b05003f002_moe,b05003f003,b05003f003_moe,b05003f004,b05003f004_moe,b05003f005,b05003f005_moe,b05003f006,b05003f006_moe,b05003f007,b05003f007_moe,b05003f008,b05003f008_moe,b05003f009,b05003f009_moe,b05003f010,b05003f010_moe,b05003f011,b05003f011_moe,b05003f012,b05003f012_moe,b05003f013,b05003f013_moe,b05003f014,b05003f014_moe,b05003f015,b05003f015_moe,b05003f016,b05003f016_moe,b05003f017,b05003f017_moe,b05003f018,b05003f018_moe,b05003f019,b05003f019_moe,b05003f020,b05003f020_moe,b05003f021,b05003f021_moe,b05003f022,b05003f022_moe,b05003f023,b05003f023_moe
68,Englewood,187,175,107,108,56,74,56,74,0,36,0,36,0,36,51,66,27,55,24,52,24,52,0,36,80,76,26,44,26,44,0,36,0,36,0,36,54,56,32,45,22,50,22,50,0,36
69,Greater Grand Crossing,100,79,65,68,0,38,0,38,0,38,0,38,0,38,65,68,54,64,11,37,8,38,3,37,35,46,0,38,0,38,0,38,0,38,0,38,35,46,25,44,10,39,10,39,0,38
70,Ashburn,7497,1099,3832,587,1433,331,1419,329,14,43,0,41,14,43,2399,408,847,275,1552,299,631,185,921,263,3665,631,1341,307,1296,303,45,70,6,39,39,71,2324,426,1046,262,1278,332,321,129,957,324
71,Auburn Gresham,48,64,46,63,3,45,0,46,3,45,0,46,3,45,43,63,32,62,11,47,0,46,11,47,2,45,2,45,2,45,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46
72,Beverly,60,54,25,33,0,29,0,29,0,29,0,29,0,29,25,33,25,33,0,29,0,29,0,29,35,38,6,29,6,29,0,29,0,29,0,29,29,34,24,34,5,29,5,29,0,29
73,Washington Heights,84,77,53,57,19,36,19,36,0,33,0,33,0,33,34,48,34,48,0,33,0,33,0,33,31,40,0,33,0,33,0,33,0,33,0,33,31,40,31,40,0,33,0,33,0,33
74,Mount Greenwood,220,167,129,121,73,97,73,97,0,25,0,25,0,25,56,56,42,51,14,31,14,31,0,25,91,59,40,49,40,49,0,25,0,25,0,25,51,38,34,30,17,31,12,29,5,22
75,Morgan Park,138,138,59,70,17,40,17,40,0,31,0,31,0,31,42,51,17,41,25,44,0,31,25,44,79,84,30,52,24,41,6,32,0,31,6,32,49,47,38,42,11,34,5,29,6,32
76,O'Hare,576,313,336,193,109,92,109,92,0,38,0,38,0,38,227,128,91,75,136,108,104,97,32,64,240,180,70,70,70,70,0,38,0,38,0,38,170,133,115,121,55,68,0,38,55,68
77,Edgewater,2730,772,1395,456,391,190,368,179,23,59,0,48,23,59,1004,369,375,153,629,318,202,131,427,299,1335,410,294,165,294,165,0,48,0,48,0,48,1041,311,573,200,468,192,205,104,263,154
