area_id,area_name,b08203001,b08203001_moe,b08203002,b08203002_moe,b08203003,b08203003_moe,b08203004,b08203004_moe,b08203005,b08203005_moe,b08203006,b08203006_moe,b08203007,b08203007_moe,b08203008,b08203008_moe,b08203009,b08203009_moe,b08203010,b08203010_moe,b08203011,b08203011_moe,b08203012,b08203012_moe,b08203013,b08203013_moe,b08203014,b08203014_moe,b08203015,b08203015_moe,b08203016,b08203016_moe,b08203017,b08203017_moe,b08203018,b08203018_moe,b08203019,b08203019_moe,b08203020,b08203020_moe,b08203021,b08203021_moe,b08203022,b08203022_moe,b08203023,b08203023_moe,b08203024,b08203024_moe,b08203025,b08203025_moe,b08203026,b08203026_moe,b08203027,b08203027_moe,b08203028,b08203028_moe,b08203029,b08203029_moe,b08203030,b08203030_moe
30,South Lawndale,16454,435,3484,367,7576,477,4106,395,970,197,318,115,3214,339,1329,222,1405,237,441,147,29,53,10,49,7267,477,1512,262,3775,379,1655,270,264,115,61,55,4143,401,531,151,1938,290,1332,253,320,121,22,52,1830,276,112,82,458,145,678,176,357,125,225,106
31,Lower West Side,12255,332,3656,357,5341,369,2411,294,678,172,169,87,2421,293,1201,215,1016,201,180,81,24,46,0,42,5742,408,1768,276,2998,300,748,160,183,96,45,55,2935,308,454,135,1071,204,1082,208,268,107,60,57,1157,232,233,99,256,113,401,135,203,88,64,66
32,Loop,14557,598,6266,619,6965,579,1175,294,111,63,40,70,2923,450,1565,386,1263,253,74,62,21,36,0,30,8186,675,3496,500,4105,557,539,252,46,45,0,30,3329,433,1125,277,1558,302,562,180,44,43,40,70,119,89,80,73,39,59,0,30,0,30,0,30
33,Near South Side,11517,470,2687,494,6900,566,1894,337,36,37,0,24,2463,406,1255,335,967,268,241,208,0,24,0,24,5848,523,1131,303,4064,477,653,182,0,24,0,24,3044,438,301,142,1816,400,891,187,36,37,0,24,162,96,0,24,53,57,109,87,0,24,0,24
34,Armour Square,5359,184,2227,225,2137,260,676,155,289,133,30,39,2049,227,1546,197,424,150,75,53,4,29,0,27,1836,232,483,124,1073,186,240,103,31,30,9,26,1035,208,163,94,573,173,256,93,22,31,21,40,439,150,35,45,67,44,105,62,232,127,0,27
35,Douglas,9023,275,3297,282,4376,322,1053,198,190,78,107,63,3652,295,2033,219,1420,219,145,71,9,34,45,47,4291,305,1109,188,2693,270,414,128,41,49,34,49,907,177,124,84,214,82,451,127,118,62,0,35,173,86,31,57,49,54,43,43,22,38,28,42
36,Oakland,2743,141,1173,171,1202,175,257,85,104,60,7,18,1215,172,764,142,355,123,89,60,0,19,7,18,1112,154,393,109,624,138,70,53,25,31,0,19,390,118,16,25,197,95,98,52,79,65,0,19,26,41,0,19,26,41,0,19,0,19,0,19
37,Fuller Park,1146,113,603,100,373,108,113,52,35,42,22,24,637,99,467,87,126,64,13,17,26,41,5,13,417,101,133,67,224,94,43,34,0,16,17,22,63,34,3,12,23,19,28,25,9,17,0,16,29,34,0,16,0,16,29,34,0,16,0,16
38,Grand Boulevard,9878,323,4017,296,4040,319,1431,225,272,99,118,68,4003,291,2635,258,1124,183,142,76,92,61,10,44,4189,346,1147,188,2505,280,492,163,36,55,9,43,1444,217,147,78,372,114,775,170,98,71,52,57,242,90,88,79,39,48,22,44,46,50,47,49
39,Kenwood,9116,306,3376,334,4187,366,1131,209,297,94,125,74,3478,305,1887,260,1280,219,231,121,66,53,14,34,4258,326,1330,241,2291,286,410,122,133,70,94,69,1303,219,146,84,599,161,452,142,89,51,17,33,77,52,13,37,17,34,38,44,9,31,0,31
40,Washington Park,4142,214,2027,222,1501,204,540,124,46,42,28,37,1755,187,1252,187,428,119,60,46,4,25,11,32,1899,211,699,155,868,162,288,104,29,41,15,33,455,105,76,50,197,73,167,62,13,27,2,25,33,34,0,27,8,28,25,32,0,27,0,27
41,Hyde Park,12539,327,4278,358,6240,386,1746,243,207,88,68,56,3669,323,1717,240,1671,244,246,104,35,52,0,38,6135,381,2214,285,3087,306,756,177,68,62,10,40,2430,280,296,102,1402,214,666,158,61,60,5,37,305,94,51,48,80,51,78,56,43,44,53,55
42,Woodlawn,10302,343,4399,328,4484,352,1221,222,139,65,59,71,4327,337,2886,284,1255,200,154,78,15,37,17,41,4519,367,1347,216,2716,305,425,143,31,41,0,36,1169,199,126,74,456,126,513,137,32,43,42,65,287,107,40,51,57,74,129,65,61,57,0,36
