area_id,area_name,b14005001,b14005001_moe,b14005002,b14005002_moe,b14005003,b14005003_moe,b14005004,b14005004_moe,b14005005,b14005005_moe,b14005006,b14005006_moe,b14005007,b14005007_moe,b14005008,b14005008_moe,b14005009,b14005009_moe,b14005010,b14005010_moe,b14005011,b14005011_moe,b14005012,b14005012_moe,b14005013,b14005013_moe,b14005014,b14005014_moe,b14005015,b14005015_moe,b14005016,b14005016_moe,b14005017,b14005017_moe,b14005018,b14005018_moe,b14005019,b14005019_moe,b14005020,b14005020_moe,b14005021,b14005021_moe,b14005022,b14005022_moe,b14005023,b14005023_moe,b14005024,b14005024_moe,b14005025,b14005025_moe,b14005026,b14005026_moe,b14005027,b14005027_moe,b14005028,b14005028_moe,b14005029,b14005029_moe
27,East Garfield Park,1765,360,747,199,638,184,36,55,35,44,567,173,109,67,50,51,0,38,14,43,36,47,59,57,0,38,0,38,59,57,1018,253,789,217,64,50,82,59,643,210,229,134,85,66,50,64,15,37,20,43,144,123,0,38,80,105,64,75
28,Near West Side,3241,560,1431,291,1175,262,105,81,230,118,840,201,256,137,77,69,3,51,54,67,20,54,179,128,0,52,0,52,179,128,1810,400,1618,375,349,133,307,108,962,313,192,107,170,105,29,63,87,86,54,70,22,54,0,52,0,52,22,54
29,North Lawndale,3069,401,1598,272,1311,247,35,49,169,88,1107,225,287,121,152,93,25,52,18,45,109,87,135,87,0,43,49,60,86,76,1471,270,1216,242,98,63,90,83,1028,220,255,111,142,85,24,48,64,63,54,65,113,80,26,53,0,43,87,73
30,South Lawndale,5191,482,2935,341,1663,280,203,103,115,81,1345,254,1272,198,401,125,142,98,13,51,246,89,871,173,116,89,45,65,710,149,2256,341,1795,294,218,129,206,101,1371,248,461,161,265,132,113,94,70,83,82,78,196,102,15,50,3,47,178,101
31,Lower West Side,1856,320,1162,222,891,196,181,94,194,100,516,149,271,106,165,88,88,75,21,44,56,59,106,73,55,61,18,46,33,53,694,196,580,182,97,72,154,83,329,118,114,75,91,69,46,59,0,42,45,55,23,49,22,51,1,39,0,42
32,Loop,1498,510,661,318,640,316,107,101,47,47,486,244,21,37,6,29,6,29,0,30,0,30,15,38,0,30,0,30,15,38,837,271,837,271,243,165,117,86,477,186,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30
33,Near South Side,464,207,93,77,93,77,45,65,0,24,48,46,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,371,198,283,181,129,156,10,26,144,103,88,72,74,70,33,40,0,24,41,62,14,27,0,24,0,24,14,27
34,Armour Square,556,158,244,93,231,92,34,41,39,42,158,77,13,27,9,29,9,29,0,27,0,27,4,26,0,27,4,26,0,27,312,122,213,104,25,32,53,63,135,80,99,66,99,66,40,49,37,40,22,42,0,27,0,27,0,27,0,27
35,Douglas,1239,221,705,151,639,137,139,59,75,68,425,113,66,73,0,35,0,35,0,35,0,35,66,73,27,54,8,35,31,60,534,145,476,137,181,81,93,60,202,100,58,55,58,55,0,35,18,44,40,48,0,35,0,35,0,35,0,35
36,Oakland,273,115,130,69,125,68,5,17,13,26,107,65,5,17,5,17,0,19,5,17,0,19,0,19,0,19,0,19,0,19,143,74,143,74,31,35,15,29,97,61,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19
37,Fuller Park,251,112,145,69,141,70,0,16,31,26,110,65,4,14,4,14,0,16,0,16,4,14,0,16,0,16,0,16,0,16,106,60,96,58,0,16,57,54,39,34,10,20,0,16,0,16,0,16,0,16,10,20,0,16,10,20,0,16
38,Grand Boulevard,1136,239,688,180,591,167,118,73,154,93,319,130,97,81,67,66,0,43,48,65,19,44,30,62,0,43,0,43,30,62,448,134,345,123,78,67,72,69,195,97,103,67,90,65,57,66,27,40,6,43,13,43,0,43,12,44,1,41
39,Kenwood,582,169,463,151,429,144,78,79,83,80,268,106,34,54,34,54,0,31,34,54,0,31,0,31,0,31,0,31,0,31,119,71,114,71,22,40,22,46,70,50,5,28,4,30,4,30,0,31,0,31,1,29,0,31,0,31,1,29
40,Washington Park,739,184,383,114,323,106,44,38,80,52,199,84,60,52,51,51,23,44,18,34,10,30,9,25,0,27,0,27,9,25,356,126,258,92,32,34,30,36,196,85,98,82,85,81,0,27,85,81,0,27,13,27,0,27,4,26,9,28
