area_id,area_name,b21001001,b21001001_moe,b21001002,b21001002_moe,b21001003,b21001003_moe,b21001004,b21001004_moe,b21001005,b21001005_moe,b21001006,b21001006_moe,b21001007,b21001007_moe,b21001008,b21001008_moe,b21001009,b21001009_moe,b21001010,b21001010_moe,b21001011,b21001011_moe,b21001012,b21001012_moe,b21001013,b21001013_moe,b21001014,b21001014_moe,b21001015,b21001015_moe,b21001016,b21001016_moe,b21001017,b21001017_moe,b21001018,b21001018_moe,b21001019,b21001019_moe,b21001020,b21001020_moe,b21001021,b21001021_moe,b21001022,b21001022_moe,b21001023,b21001023_moe,b21001024,b21001024_moe,b21001025,b21001025_moe,b21001026,b21001026_moe,b21001027,b21001027_moe,b21001028,b21001028_moe,b21001029,b21001029_moe,b21001030,b21001030_moe,b21001031,b21001031_moe,b21001032,b21001032_moe,b21001033,b21001033_moe,b21001034,b21001034_moe,b21001035,b21001035_moe,b21001036,b21001036_moe,b21001037,b21001037_moe,b21001038,b21001038_moe,b21001039,b21001039_moe
31,Lower West Side,27358,1219,722,187,26636,1213,15000,896,654,174,14346,895,7340,724,92,75,7248,711,4856,492,153,90,4703,490,1585,248,100,69,1485,244,727,190,160,98,567,156,492,139,149,78,343,119,12358,648,68,80,12290,644,5465,496,17,44,5448,496,4098,391,51,78,4047,386,1322,235,0,42,1322,235,558,135,0,42,558,135,915,181,0,42,915,181
32,Loop,24823,1319,736,174,24087,1317,12413,1041,683,171,11730,1037,6531,851,31,44,6500,852,3381,509,103,93,3278,502,1565,329,129,79,1436,313,524,158,202,82,322,137,412,136,218,94,194,103,12410,850,53,46,12357,853,6907,787,0,30,6907,787,2602,356,9,30,2593,358,1811,325,12,33,1799,324,547,152,0,30,547,152,543,160,32,43,511,163
33,Near South Side,17683,957,480,158,17203,958,8143,703,452,152,7691,698,3653,656,64,96,3589,646,3066,464,81,65,2985,447,775,203,69,51,706,202,370,139,163,98,207,93,279,190,75,49,204,183,9540,589,28,31,9512,591,3774,501,22,28,3752,502,3281,376,6,20,3275,378,1275,256,0,24,1275,256,639,170,0,24,639,170,571,242,0,24,571,242
34,Armour Square,11351,625,425,156,10926,639,5375,417,425,156,4950,416,1768,338,95,108,1673,332,1657,253,43,38,1614,249,769,191,95,82,674,192,425,130,59,53,366,121,756,163,133,71,623,156,5976,429,0,27,5976,429,1488,270,0,27,1488,270,1842,264,0,27,1842,264,936,202,0,27,936,202,806,179,0,27,806,179,904,186,0,27,904,186
35,Douglas,16060,744,971,177,15089,741,6981,504,918,172,6063,488,3156,414,33,51,3123,410,1971,253,267,113,1704,240,831,177,157,71,674,167,491,135,201,90,290,94,532,118,260,82,272,102,9079,512,53,49,9026,510,3531,412,0,35,3531,412,2535,278,46,47,2489,278,1228,211,7,35,1221,210,742,146,0,35,742,146,1043,177,0,35,1043,177
36,Oakland,4405,336,283,95,4122,358,1514,227,268,90,1246,225,467,151,9,21,458,150,613,149,65,50,548,145,182,87,78,60,104,63,152,68,32,32,120,62,100,56,84,54,16,25,2891,258,15,29,2876,258,1023,210,15,29,1008,208,1018,164,0,19,1018,164,425,111,0,19,425,111,289,90,0,19,289,90,136,71,0,19,136,71
37,Fuller Park,2083,318,205,107,1878,312,960,217,188,106,772,207,314,138,31,49,283,136,265,99,42,43,223,94,138,61,28,27,110,56,150,61,50,31,100,55,93,50,37,35,56,37,1123,215,17,17,1106,211,319,135,0,16,319,135,460,119,13,15,447,117,116,44,0,16,116,44,132,57,0,16,132,57,96,39,4,14,92,38
38,Grand Boulevard,16889,783,1322,235,15567,747,6976,499,1214,221,5762,483,2160,325,92,91,2068,310,2742,326,416,119,2326,311,883,170,248,107,635,138,648,152,213,96,435,124,543,137,245,96,298,106,9913,518,108,83,9805,516,3416,356,39,72,3377,352,3655,315,54,58,3601,314,1122,184,0,43,1122,184,944,162,0,43,944,162,776,136,15,43,761,135
39,Kenwood,14486,697,808,225,13678,681,6223,488,684,180,5539,473,2209,375,55,70,2154,367,2146,293,61,42,2085,293,775,186,180,81,595,167,629,152,133,75,496,136,464,133,255,95,209,95,8263,547,124,85,8139,542,2752,378,70,75,2682,368,2619,313,40,41,2579,313,1240,186,0,31,1240,186,879,205,14,36,865,205,773,161,0,31,773,161
40,Washington Park,7382,540,503,130,6879,548,2917,372,489,130,2428,357,986,242,63,53,923,233,1031,210,108,58,923,206,380,99,147,75,233,84,303,112,58,43,245,104,217,77,113,67,104,59,4465,354,14,28,4451,354,1764,236,2,25,1762,236,1578,200,4,27,1574,201,641,152,0,27,641,152,219,68,8,28,211,67,263,103,0,27,263,103
