area_id,area_name,c23002a001,c23002a001_moe,c23002a002,c23002a002_moe,c23002a003,c23002a003_moe,c23002a004,c23002a004_moe,c23002a005,c23002a005_moe,c23002a006,c23002a006_moe,c23002a007,c23002a007_moe,c23002a008,c23002a008_moe,c23002a009,c23002a009_moe,c23002a010,c23002a010_moe,c23002a011,c23002a011_moe,c23002a012,c23002a012_moe,c23002a013,c23002a013_moe,c23002a014,c23002a014_moe,c23002a015,c23002a015_moe,c23002a016,c23002a016_moe,c23002a017,c23002a017_moe,c23002a018,c23002a018_moe,c23002a019,c23002a019_moe,c23002a020,c23002a020_moe,c23002a021,c23002a021_moe,c23002a022,c23002a022_moe,c23002a023,c23002a023_moe,c23002a024,c23002a024_moe,c23002a025,c23002a025_moe,c23002a026,c23002a026_moe,c23002a027,c23002a027_moe
QN17,Forest Hills,47882,1448,22019,865,17148,836,14080,750,0,64,14080,750,12886,735,1194,270,3068,420,4871,386,1077,209,1046,208,31,66,3794,348,25863,921,18329,888,13770,726,0,64,13770,726,12841,733,929,229,4559,546,7534,480,964,196,906,190,58,73,6570,460
QN18,Rego Park,14056,767,6557,508,5166,481,4469,449,0,34,4469,449,4064,421,405,143,697,170,1391,206,239,93,198,86,41,41,1152,196,7499,485,5447,462,3756,396,0,34,3756,396,3383,371,373,133,1691,290,2052,257,276,88,243,82,33,41,1776,242
QN19,Glendale,23067,1044,10537,590,9093,562,6985,480,44,55,6941,483,6350,476,591,158,2108,302,1444,193,237,80,229,79,8,44,1207,180,12530,691,9967,663,6362,501,0,43,6362,501,6048,498,314,116,3605,467,2563,281,170,99,170,99,0,43,2393,274
QN20,Ridgewood,43669,1531,21717,1008,19499,983,15744,874,0,56,15744,874,14590,841,1154,244,3755,455,2218,282,277,96,269,96,8,57,1941,263,21952,859,18707,825,11466,671,9,57,11457,671,10551,653,906,192,7241,602,3245,344,201,89,189,88,12,58,3044,332
QN21,Middle Village,28873,954,13546,587,10853,579,8878,507,12,50,8866,508,8333,487,533,141,1975,262,2693,271,443,121,411,117,32,54,2250,250,15327,620,11319,599,7600,474,0,51,7600,474,7052,454,548,148,3719,404,4008,332,385,104,381,103,4,50,3623,322
QN22,Flushing,11705,1020,5077,577,3727,549,3002,517,0,54,3002,517,2725,492,277,138,725,188,1350,226,221,97,198,90,23,63,1129,212,6628,667,3961,562,2713,427,0,54,2713,427,2417,392,296,154,1248,288,2667,314,209,97,196,96,13,56,2458,302
QN23,College Point,9488,798,4695,511,3734,470,3114,433,0,34,3114,433,2912,412,202,99,620,152,961,181,227,101,187,93,40,46,734,153,4793,438,3486,408,2329,350,0,34,2329,350,2050,338,279,119,1157,234,1307,183,165,85,129,71,36,54,1142,186
QN25,Corona,18467,1563,9586,1009,8455,1017,7124,912,0,44,7124,912,6573,866,551,197,1331,322,1131,261,253,119,240,119,13,42,878,236,8881,820,7625,785,4839,615,0,44,4839,615,4421,599,418,160,2786,413,1256,263,143,103,114,92,29,64,1113,231
QN26,North Corona,18124,1920,10798,1326,10381,1321,9361,1244,0,45,9361,1244,9099,1231,262,111,1020,267,417,132,68,58,68,58,0,45,349,122,7326,784,6642,758,3579,538,0,45,3579,538,3137,491,442,163,3063,442,684,174,51,56,50,57,1,43,633,167
QN27,East Elmhurst,3867,748,2164,474,1996,462,1642,396,0,34,1642,396,1501,372,141,79,354,148,168,78,10,36,10,36,0,34,158,76,1703,361,1492,345,1047,272,0,34,1047,272,906,258,141,90,445,161,211,90,0,34,0,34,0,34,211,90
QN28,Jackson Heights,42575,1991,21502,1299,18542,1259,16329,1177,17,69,16312,1177,15056,1164,1256,288,2213,378,2960,362,715,187,675,183,40,71,2245,322,21073,1104,16231,1010,10753,800,28,80,10725,796,9784,772,941,219,5478,603,4842,436,505,152,496,151,9,67,4337,422
QN29,Elmhurst,29496,1950,15975,1262,14325,1255,11904,1102,0,60,11904,1102,11391,1087,513,192,2421,478,1650,270,311,134,311,134,0,60,1339,243,13521,971,11079,917,6262,684,0,60,6262,684,5812,672,450,153,4817,566,2442,335,288,115,268,114,20,60,2154,315
QN30,Maspeth,18093,786,8757,470,7326,454,6174,402,0,45,6174,402,5732,396,442,106,1152,197,1431,193,187,78,165,76,22,47,1244,186,9336,492,7536,473,4922,413,0,45,4922,413,4440,374,482,138,2614,285,1800,207,188,65,171,63,17,47,1612,197
QN31,Hunters Point-Sunnyside-West Maspeth,31730,1348,15976,903,14133,878,12589,832,43,74,12546,833,11794,817,752,180,1544,295,1843,254,498,147,461,145,37,62,1345,219,15754,867,13092,833,10033,718,0,56,10033,718,9294,702,739,187,3059,435,2662,310,281,109,253,105,28,61,2381,290
QN33,Cambria Heights,609,193,237,99,211,98,159,82,0,43,159,82,159,82,0,43,52,69,26,39,6,43,6,43,0,43,20,38,372,124,290,110,217,103,0,43,217,103,199,92,18,47,73,52,82,55,6,43,6,43,0,43,76,54
QN34,Queens Village,7144,792,3571,468,2808,416,2213,363,0,56,2213,363,2007,327,206,114,595,173,763,157,265,109,236,106,29,57,498,119,3573,413,2587,394,1672,269,0,56,1672,269,1531,253,141,85,915,227,986,171,75,63,63,62,12,58,911,167
QN35,Briarwood-Jamaica Hills,9255,804,4423,478,3403,462,2679,389,0,47,2679,389,2351,360,328,143,724,214,1020,162,165,82,165,82,0,47,855,154,4832,480,3453,420,2318,330,0,47,2318,330,2189,328,129,67,1135,287,1379,226,86,71,86,71,0,47,1293,221
QN37,Kew Gardens Hills,16421,1005,7879,644,6547,627,4725,430,0,40,4725,430,4379,420,346,151,1822,443,1332,209,330,113,298,110,32,48,1002,186,8542,621,6750,613,4387,437,0,40,4387,437,3983,414,404,177,2363,421,1792,251,258,88,245,84,13,43,1534,243
QN38,Pomonok-Flushing Heights-Hillcrest,12240,945,5899,551,4642,539,3646,451,0,37,3646,451,3354,444,292,109,996,251,1257,205,275,105,265,104,10,38,982,184,6341,599,4734,559,3302,442,0,37,3302,442,2850,415,452,174,1432,301,1607,253,78,61,63,48,15,37,1529,243
QN41,Fresh Meadows-Utopia,5467,518,2596,311,2010,285,1575,264,0,27,1575,264,1454,253,121,62,435,139,586,130,133,58,133,58,0,27,453,119,2871,331,1880,275,1230,226,0,27,1230,226,1001,186,229,113,650,158,991,176,67,42,67,42,0,27,924,173
QN42,Oakland Gardens,12136,644,5737,401,4260,376,3458,337,0,34,3458,337,3196,345,262,120,802,197,1477,218,272,93,272,93,0,34,1205,200,6399,408,4416,364,3061,308,0,34,3061,308,2865,305,196,88,1355,244,1983,219,240,80,211,79,29,34,1743,217
QN43,Bellerose,9680,672,4888,438,3871,404,2969,351,13,36,2956,352,2671,331,285,100,902,188,1017,199,193,78,178,75,15,32,824,184,4792,399,3462,366,2666,321,13,37,2653,321,2466,315,187,105,796,169,1330,201,228,87,221,86,7,32,1102,192
QN44,Glen Oaks-Floral Park-New Hyde Park,11669,830,5159,519,3715,486,2843,415,0,32,2843,415,2688,402,155,104,872,223,1444,204,281,91,244,85,37,40,1163,190,6510,487,3652,491,2668,398,0,32,2668,398,2477,375,191,104,984,219,2858,264,282,105,272,104,10,33,2576,256
QN45,Douglas Manor-Douglaston-Little Neck,12609,651,5868,380,4250,375,3385,325,7,34,3378,326,3193,314,185,89,865,185,1618,209,318,105,318,105,0,34,1300,191,6741,411,4561,379,3562,349,0,34,3562,349,3284,334,278,124,999,203,2180,221,460,130,450,128,10,36,1720,203
