area_id,area_name,b08302001,b08302001_moe,b08302002,b08302002_moe,b08302003,b08302003_moe,b08302004,b08302004_moe,b08302005,b08302005_moe,b08302006,b08302006_moe,b08302007,b08302007_moe,b08302008,b08302008_moe,b08302009,b08302009_moe,b08302010,b08302010_moe,b08302011,b08302011_moe,b08302012,b08302012_moe,b08302013,b08302013_moe,b08302014,b08302014_moe,b08302015,b08302015_moe
QN43,Bellerose,11694,751,427,149,294,130,238,94,1028,216,1176,250,2020,357,1509,263,983,250,1002,346,757,217,171,84,172,90,875,244,1042,232
QN44,Glen Oaks-Floral Park-New Hyde Park,9869,654,163,103,285,149,304,126,828,231,997,243,1861,345,1130,224,1222,221,571,151,701,202,307,128,165,75,753,215,582,149
QN45,Douglas Manor-Douglaston-Little Neck,12001,716,220,109,255,107,309,112,909,210,869,204,1537,275,1784,315,2136,346,736,170,1133,279,466,155,261,130,593,181,793,334
QN46,Bayside-Bayside Hills,20765,796,327,99,539,138,579,147,1457,229,1648,262,3458,357,2375,290,3476,413,1333,211,2032,303,1093,227,397,132,1265,238,786,179
QN47,Ft. Totten-Bay Terrace-Clearview,9988,731,195,130,152,99,161,91,794,296,825,216,1718,341,1591,326,1225,315,914,300,975,243,461,186,241,142,340,133,396,148
QN48,Auburndale,8840,507,141,78,121,65,151,83,580,144,650,182,1182,218,1407,261,1543,249,699,166,796,177,452,142,148,83,548,157,422,137
QN49,Whitestone,13760,715,422,141,240,117,395,137,966,212,1193,244,2089,321,1778,310,1782,322,823,198,1541,304,604,190,387,148,697,231,843,242
QN50,Elmhurst-Maspeth,12375,845,230,112,288,120,248,102,1238,331,615,172,1520,266,837,202,2098,431,1049,233,1186,260,1082,240,227,100,1005,239,752,217
QN51,Murray Hill,23812,1109,633,193,458,173,418,140,1359,286,1650,294,3762,473,2324,372,4080,477,1738,301,2971,470,1461,342,396,155,1335,299,1227,283
QN52,East Flushing,12007,719,287,117,280,87,143,85,662,172,662,153,1926,299,1283,249,2226,323,1196,227,1287,240,818,214,161,83,705,186,371,107
QN53,Woodhaven,25200,1050,803,189,989,214,923,187,2492,344,2241,318,3944,480,2689,375,4015,403,992,216,1498,268,769,195,416,154,1861,310,1568,267
QN54,Richmond Hill,28922,1146,1548,254,1113,228,789,164,2920,359,2447,347,4821,496,2489,329,3936,406,1299,261,2306,337,962,208,469,141,2269,304,1554,269
QN55,South Ozone Park,36194,1375,1862,346,1348,240,1532,292,3700,431,2901,405,5937,630,3390,433,4496,483,1213,238,2145,343,1479,280,609,195,3232,387,2350,359
QN56,Ozone Park,9522,743,437,146,350,144,389,134,1024,240,954,203,1591,325,1002,247,1307,276,372,205,563,195,199,84,156,84,494,166,684,202
QN57,Lindenwood-Howard Beach,12394,808,272,137,486,195,693,227,1359,370,847,231,2498,444,1348,329,1465,303,804,247,801,242,491,175,48,44,704,237,578,223
QN60,Kew Gardens,11510,674,197,89,69,55,367,127,717,189,525,147,2064,407,1377,259,2663,365,905,199,1109,219,333,128,241,99,477,213,466,149
QN61,Jamaica,21844,1011,1141,262,980,233,643,180,2821,397,1360,268,3369,480,1772,304,2686,386,881,205,1439,266,779,202,295,150,2315,331,1363,256
QN62,Queensboro Hill,9095,613,159,104,120,86,84,52,442,183,541,185,1646,320,1127,279,1646,286,484,153,1160,264,610,190,118,61,561,171,397,134
