area_id,area_name,b11002d001,b11002d001_moe,b11002d002,b11002d002_moe,b11002d003,b11002d003_moe,b11002d004,b11002d004_moe,b11002d005,b11002d005_moe,b11002d006,b11002d006_moe,b11002d007,b11002d007_moe,b11002d008,b11002d008_moe,b11002d009,b11002d009_moe,b11002d010,b11002d010_moe,b11002d011,b11002d011_moe,b11002d012,b11002d012_moe
QN30,Maspeth,3045,595,2785,600,2242,584,2235,583,7,44,270,178,258,174,12,47,273,220,255,208,18,50,260,100
QN31,Hunters Point-Sunnyside-West Maspeth,15247,1295,12365,1259,8953,1066,8906,1056,47,83,1582,664,1459,605,123,119,1830,570,1769,542,61,83,2882,557
QN33,Cambria Heights,453,264,453,264,440,263,440,263,0,43,0,43,0,43,0,43,13,45,13,45,0,43,0,43
QN34,Queens Village,10826,1103,10492,1104,8411,1027,8275,999,136,112,601,349,585,345,16,55,1480,510,1423,490,57,70,334,168
QN35,Briarwood-Jamaica Hills,13460,1303,12409,1279,10780,1294,10588,1276,192,146,818,386,818,386,0,47,811,329,811,329,0,47,1051,371
QN37,Kew Gardens Hills,8312,1122,7469,1118,6216,1029,6146,1018,70,88,562,472,562,472,0,40,691,318,670,306,21,52,843,311
QN38,Pomonok-Flushing Heights-Hillcrest,10611,1053,10039,1065,8162,1057,7995,1015,167,166,873,485,859,480,14,41,1004,378,987,366,17,43,572,259
QN41,Fresh Meadows-Utopia,9205,962,8580,962,7701,931,7670,928,31,41,394,255,363,241,31,39,485,255,456,238,29,37,625,272
QN42,Oakland Gardens,12245,1045,11694,1059,10123,1134,10054,1133,69,71,598,409,570,401,28,42,973,402,963,400,10,35,551,166
QN43,Bellerose,10308,1220,9960,1225,9044,1256,9035,1255,9,35,403,295,403,295,0,34,513,249,496,242,17,40,348,215
QN44,Glen Oaks-Floral Park-New Hyde Park,7257,937,7034,939,6009,829,5953,825,56,51,389,270,350,225,39,68,636,543,636,543,0,32,223,117
QN45,Douglas Manor-Douglaston-Little Neck,9271,977,9035,978,7475,963,7475,963,0,34,564,334,534,322,30,44,996,408,957,390,39,55,236,111
QN46,Bayside-Bayside Hills,15702,1022,14970,1024,13096,985,13014,983,82,73,421,260,414,258,7,51,1453,384,1396,372,57,62,732,244
