area_id,area_name,b13002g001,b13002g001_moe,b13002g002,b13002g002_moe,b13002g003,b13002g003_moe,b13002g004,b13002g004_moe,b13002g005,b13002g005_moe,b13002g006,b13002g006_moe,b13002g007,b13002g007_moe
QN34,Queens Village,1005,262,25,55,18,55,7,56,980,261,307,118,673,213
QN35,Briarwood-Jamaica Hills,622,227,32,55,0,47,32,55,590,224,249,114,341,156
QN37,Kew Gardens Hills,232,112,0,40,0,40,0,40,232,112,93,73,139,88
QN38,Pomonok-Flushing Heights-Hillcrest,390,165,14,39,14,39,0,37,376,164,128,94,248,140
QN41,Fresh Meadows-Utopia,172,115,24,35,13,33,11,30,148,102,70,56,78,74
QN42,Oakland Gardens,301,216,0,34,0,34,0,34,301,216,133,112,168,143
QN43,Bellerose,268,155,14,37,0,34,14,37,254,153,73,51,181,143
QN44,Glen Oaks-Floral Park-New Hyde Park,182,104,0,32,0,32,0,32,182,104,77,82,105,69
QN45,Douglas Manor-Douglaston-Little Neck,51,56,0,34,0,34,0,34,51,56,0,34,51,56
QN46,Bayside-Bayside Hills,373,145,19,54,16,55,3,50,354,143,146,86,208,114
QN47,Ft. Totten-Bay Terrace-Clearview,96,136,14,37,14,37,0,34,82,135,40,72,42,74
QN48,Auburndale,85,60,21,41,21,41,0,32,64,51,35,41,29,43
QN49,Whitestone,187,110,12,39,12,39,0,38,175,109,150,107,25,43
QN50,Elmhurst-Maspeth,86,61,0,34,0,34,0,34,86,61,37,41,49,54
QN51,Murray Hill,281,136,0,50,0,50,0,50,281,136,117,101,164,102
QN52,East Flushing,187,121,0,42,0,42,0,42,187,121,55,67,132,77
QN53,Woodhaven,914,215,77,81,69,81,8,54,837,202,256,98,581,171
QN54,Richmond Hill,989,243,48,67,28,60,20,66,941,241,456,143,485,139
QN55,South Ozone Park,1317,279,90,113,0,62,90,113,1227,254,648,171,579,169
QN56,Ozone Park,339,171,16,41,16,41,0,36,323,169,141,75,182,135
QN57,Lindenwood-Howard Beach,347,206,0,34,0,34,0,34,347,206,196,148,151,140
QN60,Kew Gardens,144,81,1,32,0,34,1,32,143,81,63,56,80,68
QN61,Jamaica,805,202,36,69,30,69,6,51,769,193,286,106,483,153
