area_id,area_name,b07009001,b07009001_moe,b07009002,b07009002_moe,b07009003,b07009003_moe,b07009004,b07009004_moe,b07009005,b07009005_moe,b07009006,b07009006_moe,b07009007,b07009007_moe,b07009008,b07009008_moe,b07009009,b07009009_moe,b07009010,b07009010_moe,b07009011,b07009011_moe,b07009012,b07009012_moe,b07009013,b07009013_moe,b07009014,b07009014_moe,b07009015,b07009015_moe,b07009016,b07009016_moe,b07009017,b07009017_moe,b07009018,b07009018_moe,b07009019,b07009019_moe,b07009020,b07009020_moe,b07009021,b07009021_moe,b07009022,b07009022_moe,b07009023,b07009023_moe,b07009024,b07009024_moe,b07009025,b07009025_moe,b07009026,b07009026_moe,b07009027,b07009027_moe,b07009028,b07009028_moe,b07009029,b07009029_moe,b07009030,b07009030_moe,b07009031,b07009031_moe,b07009032,b07009032_moe,b07009033,b07009033_moe,b07009034,b07009034_moe,b07009035,b07009035_moe,b07009036,b07009036_moe
MN09,Morningside Heights,34232,1281,4182,568,4011,554,3853,541,8069,793,14117,945,28632,1152,3848,531,3642,515,3357,522,6028,657,11757,881,2585,505,146,87,166,120,224,120,780,264,1269,336,536,187,69,67,68,63,70,64,154,104,175,116,1224,280,35,64,37,57,185,106,626,188,341,131,1255,380,84,121,98,116,17,51,481,229,575,188
MN11,Central Harlem South,31407,1111,5240,610,6470,656,6492,580,7096,592,6109,598,28175,1088,4736,584,6098,641,5945,556,6162,561,5234,549,1410,275,175,94,189,85,216,107,292,146,538,164,877,249,237,132,87,61,186,93,263,140,104,68,693,205,46,65,38,60,122,104,283,115,204,95,252,118,46,65,58,54,23,52,96,78,29,61
MN12,Upper West Side,106597,2195,6896,722,9008,965,13163,1014,33730,1637,43800,1650,92288,2256,6304,690,8240,939,11848,958,28142,1533,37754,1520,8112,953,436,212,407,160,750,298,3448,584,3071,505,1681,527,96,120,150,105,311,145,438,219,686,373,3076,534,7,68,121,118,229,155,1226,304,1493,364,1440,408,53,82,90,93,25,72,476,244,796,272
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,56248,1459,3471,482,4394,569,7948,760,21474,1185,18961,1090,47139,1438,3143,449,4113,560,6973,669,17297,1057,15613,1024,4945,678,128,116,95,72,650,278,2343,443,1729,359,1284,331,140,73,65,59,193,109,532,226,354,213,2258,504,51,60,61,89,102,83,1148,387,896,254,622,206,9,54,60,68,30,62,154,101,369,159
MN14,Lincoln Square,47993,1628,1827,540,3005,516,4848,593,16447,1115,21866,1454,41941,1663,1788,538,2764,503,4619,582,13659,1120,19111,1433,3350,589,22,54,89,73,149,111,1475,365,1615,367,571,305,0,48,43,58,16,48,356,281,156,90,1375,311,0,48,95,80,64,61,561,215,655,201,756,250,17,56,14,51,0,48,396,185,329,162
MN15,Clinton,35364,1196,3116,453,4213,609,5586,644,12750,955,9699,838,28621,1202,2760,441,3673,573,4411,515,9849,827,7928,765,3296,613,87,69,265,147,617,272,1549,421,778,224,1265,338,170,118,144,117,162,111,548,204,241,116,1500,356,87,65,39,53,257,140,680,229,437,177,682,260,12,45,92,100,139,148,124,90,315,143
MN17,Midtown-Midtown South,22526,916,852,179,1803,305,2518,399,8619,724,8734,671,17516,930,709,155,1591,293,2196,385,6437,704,6583,593,1999,382,66,75,142,86,120,75,845,247,826,236,661,214,45,71,27,51,73,74,350,176,166,104,1389,394,9,52,34,63,83,75,666,259,597,218,961,279,23,51,9,49,46,57,321,133,562,237
MN19,Turtle Bay-East Midtown,40594,1386,759,246,2363,443,5051,544,17290,1132,15131,959,34916,1348,695,213,2080,400,4474,504,14568,1088,13099,913,2929,546,62,104,162,148,307,158,1436,348,962,273,947,319,2,47,88,104,129,133,395,184,333,171,1159,320,0,48,33,56,81,66,540,226,505,194,643,221,0,48,0,48,60,76,351,166,232,134
MN20,Murray Hill-Kips Bay,37558,1583,1274,343,2231,444,4807,650,15968,1188,13278,1037,30081,1352,1157,328,2082,451,3977,557,12583,1073,10282,836,3530,782,56,76,39,48,249,139,1892,539,1294,412,783,273,38,52,51,57,102,81,241,155,351,188,2093,481,9,41,33,53,322,235,991,330,738,242,1071,360,14,46,26,47,157,112,261,138,613,274
MN21,Gramercy,20982,986,711,254,1500,375,2279,439,9484,800,7008,598,17437,1017,664,244,1361,355,2066,440,7448,757,5898,576,2165,486,20,37,78,72,112,82,1254,330,701,241,431,201,27,41,57,61,28,44,274,166,45,44,606,238,0,34,4,31,53,63,361,171,188,98,343,140,0,34,0,34,20,43,147,104,176,90
MN22,East Village,32043,1133,2632,437,3832,533,3897,511,12702,933,8980,772,26686,1112,2353,422,3248,498,3242,454,10353,864,7490,709,2744,567,109,86,328,148,310,223,1116,319,881,281,839,275,100,67,107,108,179,150,383,192,70,63,1343,344,23,44,138,98,86,88,787,275,309,138,431,167,47,56,11,42,80,81,63,57,230,129
MN23,West Village,53425,1372,939,239,2617,503,5159,568,23511,1195,21199,1087,44175,1418,812,227,2355,457,4716,533,18394,1108,17898,1045,5327,658,34,59,36,70,189,122,3349,531,1719,357,732,250,73,79,156,147,41,68,304,168,158,123,1850,387,1,55,47,92,108,90,861,236,833,239,1341,341,19,62,23,58,105,94,603,226,591,230
MN24,SoHo-TriBeCa-Civic Center-Little Italy,30008,1133,3572,480,2383,419,2864,431,12192,938,8997,686,24804,1115,3459,477,2032,404,2421,401,9571,849,7321,624,3178,518,113,82,221,155,192,97,1869,418,783,225,634,260,0,42,72,85,119,123,196,117,247,192,937,296,0,42,58,63,81,78,432,215,366,173,455,186,0,42,0,42,51,68,124,68,280,158
MN25,Battery Park City-Lower Manhattan,27828,1169,1149,287,1197,258,3404,565,11466,1028,10612,810,20455,1164,969,264,1057,232,2691,511,7836,888,7902,760,3571,590,97,97,60,56,423,202,1765,341,1226,322,1145,349,42,56,67,113,79,78,523,245,434,197,1986,486,41,76,13,43,199,119,1016,379,717,207,671,252,0,42,0,42,12,40,326,197,333,140
MN27,Chinatown,34996,1369,14351,933,6686,722,4316,493,7131,712,2512,395,31092,1345,13655,908,5822,690,3806,464,5828,660,1981,358,1870,413,305,139,558,276,168,90,547,198,292,131,941,257,247,139,183,85,154,115,229,138,128,99,546,205,58,58,21,47,90,70,297,173,80,86,547,201,86,75,102,75,98,91,230,131,31,53
MN28,Lower East Side,54940,1351,18158,1096,11452,902,8428,734,11270,808,5632,567,49940,1398,17138,1023,10908,894,7583,698,9476,759,4835,523,2163,452,410,157,321,179,303,165,844,253,285,116,1545,473,385,301,190,91,314,137,518,231,138,91,762,245,72,80,20,58,129,113,320,160,221,160,530,196,153,110,13,61,99,93,112,86,153,128
