area_id,area_name,b18101i001,b18101i001_moe,b18101i002,b18101i002_moe,b18101i003,b18101i003_moe,b18101i004,b18101i004_moe,b18101i005,b18101i005_moe,b18101i006,b18101i006_moe,b18101i007,b18101i007_moe,b18101i008,b18101i008_moe,b18101i009,b18101i009_moe,b18101i010,b18101i010_moe
SI05,New Springville-Bloomfield-Travis,5722,1219,2228,596,0,43,2228,596,3254,850,116,76,3138,839,240,97,70,58,170,85
SI07,Westerleigh,2870,536,953,276,46,43,907,274,1788,333,122,65,1666,330,129,69,88,59,41,44
SI08,Grymes Hill-Clifton-Fox Hills,6354,1244,2216,673,87,102,2129,621,3797,673,271,166,3526,629,341,178,94,62,247,168
SI11,Charleston-Richmond Valley-Tottenville,2659,819,1120,400,23,41,1097,398,1488,478,21,40,1467,481,51,48,14,27,37,51
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,11737,1222,4036,592,71,61,3965,589,7275,805,554,158,6721,806,426,129,178,90,248,93
SI14,Grasmere-Arrochar-Ft. Wadsworth,1758,364,373,188,33,32,340,187,1169,240,76,67,1093,228,216,111,41,32,175,107
SI22,West New Brighton-New Brighton-St. George,8621,1099,2731,522,120,84,2611,512,5341,696,490,160,4851,670,549,179,222,83,327,156
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2920,696,780,268,0,38,780,268,1976,483,78,56,1898,480,164,77,89,66,75,53
SI25,Oakwood-Oakwood Beach,2686,677,957,334,84,135,873,317,1537,433,178,133,1359,380,192,104,96,75,96,62
SI28,Port Richmond,5933,1039,2046,464,11,33,2035,464,3688,685,120,62,3568,686,199,81,82,54,117,62
SI32,Rossville-Woodrow,1450,560,576,329,0,29,576,329,804,334,30,44,774,328,70,72,53,52,17,36
SI35,New Brighton-Silver Lake,4754,809,1819,446,27,50,1792,442,2792,520,223,141,2569,500,143,74,77,49,66,53
SI36,Old Town-Dongan Hills-South Beach,3364,680,719,238,20,35,699,234,2385,532,263,140,2122,501,260,126,124,88,136,84
SI37,Stapleton-Rosebank,7453,1096,2142,446,74,59,2068,441,4911,763,459,183,4452,715,400,134,122,73,278,118
SI45,New Dorp-Midland Beach,3041,688,974,323,78,71,896,307,1963,427,166,96,1797,411,104,67,5,28,99,66
SI48,Arden Heights,2848,666,779,312,0,29,779,312,1944,461,99,75,1845,446,125,81,22,35,103,78
SI54,Great Kills,3169,734,949,328,0,42,949,328,1880,491,167,92,1713,480,340,167,56,74,284,152
SI99,park-cemetery-etc-Staten Island,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
