area_id,area_name,c18120001,c18120001_moe,c18120002,c18120002_moe,c18120003,c18120003_moe,c18120004,c18120004_moe,c18120005,c18120005_moe,c18120006,c18120006_moe,c18120007,c18120007_moe,c18120008,c18120008_moe,c18120009,c18120009_moe,c18120010,c18120010_moe,c18120011,c18120011_moe
QN31,Hunters Point-Sunnyside-West Maspeth,44598,1407,35754,1240,33148,1216,835,206,32313,1206,2606,367,322,149,2284,346,8844,750,1352,275,7492,698
QN33,Cambria Heights,13045,713,9958,577,9255,552,216,88,9039,542,703,146,42,46,661,141,3087,419,470,148,2617,399
QN34,Queens Village,38467,1252,31063,1117,27317,1025,1217,249,26100,1014,3746,458,342,137,3404,419,7404,612,1427,262,5977,522
QN35,Briarwood-Jamaica Hills,26211,1080,20182,905,17881,839,653,195,17228,828,2301,400,86,70,2215,398,6029,572,1095,236,4934,514
QN37,Kew Gardens Hills,22744,995,16718,750,15011,771,683,236,14328,768,1707,292,102,70,1605,296,6026,757,974,226,5052,736
QN38,Pomonok-Flushing Heights-Hillcrest,21822,987,15368,887,13413,786,707,234,12706,749,1955,382,97,81,1858,376,6454,651,1042,266,5412,611
QN41,Fresh Meadows-Utopia,11508,686,8664,610,7848,593,186,88,7662,591,816,222,35,43,781,220,2844,425,382,142,2462,392
QN42,Oakland Gardens,17851,708,13552,623,12720,603,402,176,12318,610,832,205,49,72,783,194,4299,467,541,152,3758,454
QN43,Bellerose,16625,855,12580,773,11558,766,432,154,11126,745,1022,217,27,39,995,213,4045,453,859,196,3186,423
QN44,Glen Oaks-Floral Park-New Hyde Park,13267,762,10396,716,9649,659,244,97,9405,641,747,232,10,34,737,232,2871,350,617,155,2254,324
QN45,Douglas Manor-Douglaston-Little Neck,15844,883,12639,728,11791,688,193,111,11598,679,848,217,28,40,820,216,3205,437,424,133,2781,422
QN46,Bayside-Bayside Hills,29587,979,22726,827,20705,783,554,164,20151,788,2021,311,145,101,1876,292,6861,550,1139,270,5722,473
QN47,Ft. Totten-Bay Terrace-Clearview,13770,1039,10841,733,9730,711,270,131,9460,723,1111,278,18,42,1093,277,2929,592,373,156,2556,587
QN48,Auburndale,13394,662,9747,554,8954,514,282,117,8672,505,793,181,64,56,729,172,3647,388,383,144,3264,372
QN49,Whitestone,19621,891,15429,814,13853,723,406,133,13447,726,1576,364,112,81,1464,350,4192,451,482,147,3710,417
QN50,Elmhurst-Maspeth,17864,918,13121,838,12392,831,174,81,12218,833,729,168,51,66,678,161,4743,504,498,171,4245,481
QN51,Murray Hill,34454,1324,25955,1186,23694,1120,697,182,22997,1128,2261,353,80,75,2181,343,8499,671,1056,228,7443,645
QN52,East Flushing,18882,904,13754,759,12333,724,388,132,11945,729,1421,284,66,52,1355,281,5128,492,452,140,4676,473
QN53,Woodhaven,39091,1325,29987,1132,26157,1063,1227,242,24930,1053,3830,441,401,136,3429,407,9104,639,1887,275,7217,600
QN54,Richmond Hill,43743,1470,32989,1240,29762,1164,1266,224,28496,1149,3227,381,309,142,2918,360,10754,683,1770,268,8984,626
QN55,South Ozone Park,54305,1729,40825,1496,36536,1387,1187,238,35349,1364,4289,492,197,92,4092,479,13480,820,2133,328,11347,769
QN56,Ozone Park,14416,905,10901,798,9786,763,500,161,9286,745,1115,246,99,68,1016,227,3515,386,844,206,2671,335
QN57,Lindenwood-Howard Beach,17030,960,13034,876,11932,789,482,183,11450,770,1102,285,86,84,1016,280,3996,578,958,255,3038,532
QN60,Kew Gardens,15981,904,12572,745,11450,695,369,119,11081,694,1122,232,111,86,1011,221,3409,506,426,130,2983,485
QN61,Jamaica,33383,1249,25244,1116,21690,989,1161,222,20529,979,3554,472,256,103,3298,460,8139,657,1677,313,6462,583
QN62,Queensboro Hill,13876,789,10165,648,9246,599,337,126,8909,592,919,201,80,60,839,187,3711,395,275,101,3436,391
QN63,Woodside,31306,1361,24506,1186,22604,1159,538,200,22066,1150,1902,315,97,85,1805,307,6800,635,911,260,5889,595
QN66,Laurelton,15795,769,12443,671,11304,639,422,124,10882,641,1139,231,54,49,1085,224,3352,400,820,202,2532,363
QN68,Queensbridge-Ravenswood-Long Island City,12432,675,8962,580,7650,534,410,150,7240,505,1312,249,171,92,1141,240,3470,452,808,173,2662,410
QN70,Astoria,55267,1526,45790,1357,41501,1323,1023,206,40478,1319,4289,467,382,143,3907,451,9477,720,1587,286,7890,662
QN71,Old Astoria,19359,951,15321,847,13841,816,391,127,13450,809,1480,281,97,64,1383,281,4038,425,1019,210,3019,386
QN72,Steinway,35247,1149,28261,1031,25824,960,879,220,24945,967,2437,370,226,115,2211,357,6986,658,1379,252,5607,618
