area_id,area_name,b01001c001,b01001c001_moe,b01001c002,b01001c002_moe,b01001c003,b01001c003_moe,b01001c004,b01001c004_moe,b01001c005,b01001c005_moe,b01001c006,b01001c006_moe,b01001c007,b01001c007_moe,b01001c008,b01001c008_moe,b01001c009,b01001c009_moe,b01001c010,b01001c010_moe,b01001c011,b01001c011_moe,b01001c012,b01001c012_moe,b01001c013,b01001c013_moe,b01001c014,b01001c014_moe,b01001c015,b01001c015_moe,b01001c016,b01001c016_moe,b01001c017,b01001c017_moe,b01001c018,b01001c018_moe,b01001c019,b01001c019_moe,b01001c020,b01001c020_moe,b01001c021,b01001c021_moe,b01001c022,b01001c022_moe,b01001c023,b01001c023_moe,b01001c024,b01001c024_moe,b01001c025,b01001c025_moe,b01001c026,b01001c026_moe,b01001c027,b01001c027_moe,b01001c028,b01001c028_moe,b01001c029,b01001c029_moe,b01001c030,b01001c030_moe,b01001c031,b01001c031_moe
BX41,Mount Hope,399,264,201,189,18,51,0,51,18,55,0,51,12,52,33,72,65,90,23,50,0,51,32,72,0,51,0,51,0,51,0,51,198,106,38,57,0,51,0,51,0,51,9,50,0,51,29,57,0,51,29,51,42,58,34,65,0,51,17,51,0,51
BX43,Norwood,284,174,129,102,0,41,11,43,11,43,22,49,21,55,0,41,0,41,0,41,24,44,15,44,11,44,0,41,14,44,0,41,155,101,36,51,24,44,0,41,12,42,21,48,19,49,0,41,0,41,23,50,8,41,0,41,12,43,0,41,0,41
BX44,Williamsbridge-Olinville,349,264,100,92,32,66,0,54,11,55,13,56,0,54,21,62,23,64,0,54,0,54,0,54,0,54,0,54,0,54,0,54,249,191,31,66,12,56,14,55,12,56,21,62,44,83,14,56,0,54,45,65,14,54,24,65,18,60,0,54,0,54
BX46,Parkchester,125,94,93,81,66,73,9,37,9,37,0,36,0,36,9,35,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,32,42,0,36,0,36,0,36,0,36,0,36,9,35,0,36,0,36,10,37,0,36,13,38,0,36,0,36,0,36
BX49,Pelham Parkway,85,97,29,47,13,42,16,43,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,56,75,0,38,0,38,16,43,0,38,0,38,0,38,24,53,0,38,16,44,0,38,0,38,0,38,0,38,0,38
BX52,Schuylerville-Throgs Neck-Edgewater Park,246,209,110,98,0,52,0,52,4,51,40,75,0,52,0,52,0,52,45,77,0,52,0,52,0,52,14,55,7,52,0,52,136,143,0,52,0,52,20,60,0,52,36,77,0,52,0,52,0,52,7,52,18,58,49,69,0,52,0,52,6,52
BX55,Soundview-Bruckner,500,405,291,323,0,40,14,42,0,40,7,38,26,55,62,106,111,180,0,40,0,40,23,43,9,40,39,64,0,40,0,40,209,137,0,40,0,40,11,41,31,54,21,48,0,40,0,40,37,69,21,43,47,63,41,74,0,40,0,40,0,40
BX59,Westchester-Unionport,117,100,72,56,0,36,9,35,6,36,0,36,0,36,0,36,0,36,0,36,7,36,17,43,19,43,14,40,0,36,0,36,45,71,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,12,38,0,36,18,42,0,36,0,36,15,40
BX62,Woodlawn-Wakefield,119,107,46,70,9,49,8,48,29,65,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,73,72,0,48,0,48,0,48,0,48,0,48,0,48,8,48,24,56,0,48,41,66,0,48,0,48,0,48,0,48
BX63,West Concourse,483,288,251,188,29,60,59,73,0,42,0,42,0,42,0,42,0,42,20,52,30,61,33,55,35,63,45,54,0,42,0,42,232,132,0,42,0,42,32,62,0,42,0,42,0,42,50,66,3,39,68,71,24,50,14,46,10,42,31,62,0,42
BX75,Crotona Park East,227,178,83,71,0,29,17,39,16,33,6,29,0,29,0,29,0,29,17,39,11,32,16,37,0,29,0,29,0,29,0,29,144,115,39,51,18,39,18,34,6,29,0,29,0,29,29,41,0,29,34,46,0,29,0,29,0,29,0,29,0,29
BX98,Rikers Island,7,13,7,13,0,17,0,17,0,17,0,17,0,17,0,17,0,17,7,13,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
BX99,park-cemetery-etc-Bronx,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32
MN01,Marble Hill-Inwood,204,123,57,65,0,41,20,48,0,41,0,41,0,41,0,41,0,41,29,59,0,41,0,41,8,42,0,41,0,41,0,41,147,94,0,41,0,41,13,40,0,41,20,48,0,41,0,41,0,41,53,60,28,43,27,47,0,41,6,37,0,41
