area_id,area_name,b02006001,b02006001_moe,b02006002,b02006002_moe,b02006003,b02006003_moe,b02006004,b02006004_moe,b02006005,b02006005_moe,b02006006,b02006006_moe,b02006007,b02006007_moe,b02006008,b02006008_moe,b02006009,b02006009_moe,b02006010,b02006010_moe,b02006011,b02006011_moe,b02006012,b02006012_moe,b02006013,b02006013_moe,b02006014,b02006014_moe,b02006015,b02006015_moe,b02006016,b02006016_moe,b02006017,b02006017_moe,b02006018,b02006018_moe,b02006019,b02006019_moe
MN40,Upper East Side-Carnegie Hill,3150,578,613,258,0,52,0,52,1209,425,376,167,0,52,0,52,302,147,300,124,0,52,70,141,7,53,0,52,20,58,0,52,106,107,82,75,65,100
MN50,Stuyvesant Town-Cooper Village,3593,923,694,370,0,22,24,42,814,427,615,328,0,22,0,22,139,92,723,667,28,47,0,22,454,447,0,22,0,22,0,22,62,64,40,57,0,22
MN99,park-cemetery-etc-Manhattan,6,33,6,33,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32
QN01,South Jamaica,2336,673,1173,442,764,474,0,46,152,88,130,138,0,46,0,46,16,49,7,46,0,46,0,46,0,46,0,46,0,46,0,46,59,97,0,46,35,54
QN02,Springfield Gardens North,454,304,147,138,0,31,0,31,271,263,0,31,0,31,0,31,36,62,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31
QN03,Springfield Gardens South-Brookville,295,229,174,186,0,29,0,29,33,43,86,130,0,29,0,29,0,29,2,32,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
QN05,Rosedale,1113,487,444,368,0,35,0,35,209,235,120,143,0,35,0,35,0,35,34,54,0,35,0,35,121,92,0,35,35,65,1,33,0,35,0,35,149,159
QN06,Jamaica Estates-Holliswood,7569,813,2819,731,895,340,0,36,633,240,1880,457,0,36,0,36,65,82,286,170,0,36,0,36,222,254,285,181,35,57,0,36,0,36,382,248,67,60
QN07,Hollis,2777,700,2141,636,42,74,0,36,151,139,264,183,0,36,0,36,9,37,1,34,0,36,0,36,8,49,0,36,19,46,0,36,142,225,0,36,0,36
QN08,St. Albans,760,335,179,140,153,180,0,59,357,257,35,82,0,59,0,59,6,58,6,59,0,59,0,59,0,59,0,59,0,59,3,58,0,59,0,59,21,66
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,469,246,28,42,0,36,0,36,147,97,202,208,0,36,0,36,0,36,62,94,0,36,0,36,14,41,0,36,0,36,16,46,0,36,0,36,0,36
QN12,Hammels-Arverne-Edgemere,966,384,210,150,149,228,0,38,226,206,238,189,0,38,0,38,8,41,120,138,0,38,0,38,0,38,0,38,15,43,0,38,0,38,0,38,0,38
QN15,Far Rockaway-Bayswater,957,513,431,333,0,46,0,46,299,356,82,132,0,46,0,46,60,106,50,63,0,46,14,48,0,46,0,46,0,46,0,46,0,46,21,47,0,46
QN17,Forest Hills,20655,1451,3579,792,174,125,5,63,10226,1009,1109,443,0,64,565,360,1384,412,1582,472,2,63,9,64,402,236,0,64,748,392,316,294,148,126,335,202,71,88
