area_id,area_name,c27001d001,c27001d001_moe,c27001d002,c27001d002_moe,c27001d003,c27001d003_moe,c27001d004,c27001d004_moe,c27001d005,c27001d005_moe,c27001d006,c27001d006_moe,c27001d007,c27001d007_moe,c27001d008,c27001d008_moe,c27001d009,c27001d009_moe,c27001d010,c27001d010_moe
SI08,Grymes Hill-Clifton-Fox Hills,3169,645,678,255,667,254,11,32,2283,448,1830,392,453,202,208,107,208,107,0,28
SI11,Charleston-Richmond Valley-Tottenville,1032,356,223,128,223,128,0,32,602,238,542,211,60,65,207,113,207,113,0,32
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,2444,464,413,162,405,163,8,38,1855,344,1728,331,127,86,176,94,176,94,0,38
SI14,Grasmere-Arrochar-Ft. Wadsworth,1587,384,403,143,390,143,13,32,1099,333,906,323,193,100,85,50,85,50,0,27
SI22,West New Brighton-New Brighton-St. George,1721,482,411,189,391,177,20,49,1151,336,963,292,188,147,159,88,159,88,0,40
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,4199,851,803,301,694,272,109,133,2806,579,2031,481,775,329,590,177,556,168,34,62
SI25,Oakwood-Oakwood Beach,463,206,104,82,104,82,0,32,285,123,254,116,31,35,74,61,74,61,0,32
SI28,Port Richmond,923,406,216,123,201,122,15,35,638,298,541,255,97,81,69,61,54,58,15,36
SI32,Rossville-Woodrow,1105,422,252,168,236,170,16,35,767,333,715,326,52,57,86,70,86,70,0,29
SI35,New Brighton-Silver Lake,717,284,194,127,171,123,23,39,490,187,326,125,164,143,33,38,33,38,0,27
SI36,Old Town-Dongan Hills-South Beach,2280,666,505,239,505,239,0,32,1515,387,1260,339,255,145,260,128,247,128,13,34
SI37,Stapleton-Rosebank,2875,644,616,211,562,207,54,47,1945,487,1383,325,562,289,314,109,282,101,32,53
SI45,New Dorp-Midland Beach,1165,326,304,178,291,176,13,33,763,221,719,214,44,39,98,69,98,69,0,29
SI48,Arden Heights,1558,334,285,140,246,130,39,59,981,231,933,222,48,49,292,130,276,132,16,32
SI54,Great Kills,1675,549,435,217,435,217,0,42,1002,350,767,274,235,191,238,124,238,124,0,42
SI99,park-cemetery-etc-Staten Island,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
