area_id,area_name,c21001g001,c21001g001_moe,c21001g002,c21001g002_moe,c21001g003,c21001g003_moe,c21001g004,c21001g004_moe,c21001g005,c21001g005_moe,c21001g006,c21001g006_moe,c21001g007,c21001g007_moe,c21001g008,c21001g008_moe,c21001g009,c21001g009_moe,c21001g010,c21001g010_moe,c21001g011,c21001g011_moe,c21001g012,c21001g012_moe,c21001g013,c21001g013_moe,c21001g014,c21001g014_moe,c21001g015,c21001g015_moe
QN53,Woodhaven,2111,423,969,227,923,224,11,55,912,223,46,58,11,56,35,56,1142,256,1047,242,20,62,1027,240,95,69,0,54,95,69
QN54,Richmond Hill,2313,449,1113,254,1034,238,46,95,988,225,79,63,12,60,67,62,1200,245,1105,231,0,60,1105,231,95,68,0,60,95,68
QN55,South Ozone Park,3759,644,1942,366,1656,328,46,66,1610,326,286,103,31,73,255,96,1817,349,1638,316,24,69,1614,314,179,89,0,62,179,89
QN56,Ozone Park,919,377,473,205,385,176,40,44,345,164,88,89,67,83,21,48,446,218,373,160,0,36,373,160,73,84,0,36,73,84
QN57,Lindenwood-Howard Beach,698,414,275,190,268,191,0,34,268,191,7,31,0,34,7,31,423,248,374,209,0,34,374,209,49,84,0,34,49,84
QN60,Kew Gardens,453,192,254,123,229,115,0,34,229,115,25,44,0,34,25,44,199,95,177,88,0,34,177,88,22,39,0,34,22,39
QN61,Jamaica,2031,460,919,269,805,226,69,73,736,219,114,86,0,51,114,86,1112,240,944,215,0,51,944,215,168,92,0,51,168,92
QN62,Queensboro Hill,237,141,117,72,110,71,0,29,110,71,7,29,0,29,7,29,120,81,109,76,0,29,109,76,11,32,0,29,11,32
QN63,Woodside,707,249,326,145,279,131,20,57,259,128,47,77,0,50,47,77,381,153,337,140,0,50,337,140,44,75,0,50,44,75
QN66,Laurelton,357,130,72,54,68,52,1,38,67,54,4,40,0,40,4,40,285,117,263,112,0,40,263,112,22,39,0,40,22,39
QN68,Queensbridge-Ravenswood-Long Island City,197,94,105,75,100,75,12,41,88,66,5,37,0,38,5,37,92,63,66,57,0,38,66,57,26,40,0,38,26,40
