area_id,area_name,b03001001,b03001001_moe,b03001002,b03001002_moe,b03001003,b03001003_moe,b03001004,b03001004_moe,b03001005,b03001005_moe,b03001006,b03001006_moe,b03001007,b03001007_moe,b03001008,b03001008_moe,b03001009,b03001009_moe,b03001010,b03001010_moe,b03001011,b03001011_moe,b03001012,b03001012_moe,b03001013,b03001013_moe,b03001014,b03001014_moe,b03001015,b03001015_moe,b03001016,b03001016_moe,b03001017,b03001017_moe,b03001018,b03001018_moe,b03001019,b03001019_moe,b03001020,b03001020_moe,b03001021,b03001021_moe,b03001022,b03001022_moe,b03001023,b03001023_moe,b03001024,b03001024_moe,b03001025,b03001025_moe,b03001026,b03001026_moe,b03001027,b03001027_moe,b03001028,b03001028_moe,b03001029,b03001029_moe,b03001030,b03001030_moe,b03001031,b03001031_moe
15,Portage Park,63619,1847,37231,1485,26388,1818,14085,1564,6830,1178,536,293,46,68,1733,490,29,54,1255,429,91,90,51,90,9,48,298,212,0,47,2347,676,95,124,0,47,0,47,384,219,1562,593,0,47,157,164,74,87,10,48,65,83,811,466,108,88,65,90,0,47,638,454
16,Irving Park,56513,1956,31064,1309,25449,1956,14412,1857,4586,709,284,204,26,48,1889,500,37,75,1223,433,247,190,18,55,40,69,194,195,130,180,3710,1026,39,57,59,72,14,49,405,210,2670,957,0,47,429,281,0,47,53,76,41,64,542,406,34,58,9,49,0,47,499,404
17,Dunning,42115,1249,32409,1159,9706,941,5562,744,2598,660,281,224,0,40,366,221,13,44,233,180,65,92,55,97,0,40,0,40,0,40,696,336,78,83,0,40,0,40,241,226,357,236,0,40,20,52,0,40,0,40,0,40,203,130,48,74,20,49,0,40,135,109
18,Montclare,12401,838,5993,569,6408,829,3731,755,1519,447,123,108,0,23,384,280,0,23,169,122,215,213,0,23,0,23,0,23,0,23,445,284,0,23,0,23,0,23,88,96,277,235,0,23,0,23,0,23,80,124,0,23,206,209,0,23,0,23,0,23,206,209
19,Belmont Cragin,77885,2548,17910,1472,59975,2572,39573,2673,12786,1455,153,115,230,198,3652,783,20,61,1732,530,854,398,147,141,28,58,871,405,0,52,2868,784,29,69,0,52,6,52,676,421,1534,565,12,55,487,330,0,52,66,119,58,105,713,358,37,64,188,269,0,52,488,240
20,Hermosa,25068,1269,2456,460,22612,1359,12158,1428,7398,1037,91,122,129,123,1739,626,0,29,1309,561,194,213,45,59,0,29,191,172,0,29,631,267,0,29,0,29,0,29,115,130,402,215,0,29,114,99,0,29,0,29,0,29,466,222,12,33,0,29,0,29,454,223
21,Avondale,41542,1885,14365,968,27177,2097,17870,2018,3846,791,249,141,175,153,1979,619,0,38,1405,573,305,185,82,98,0,38,151,137,36,61,2713,755,46,63,0,38,19,41,327,245,2139,729,0,38,28,57,26,61,17,44,111,155,345,217,0,38,25,62,0,38,320,212
22,Logan Square,73786,1997,38646,1330,35140,1982,19694,1716,10261,1160,700,252,154,102,2134,671,3,56,1165,475,565,445,128,152,76,125,197,152,0,57,1407,459,24,61,0,57,0,57,394,178,823,414,0,57,132,129,0,57,34,65,0,57,790,321,115,139,53,79,0,57,622,289
23,Humboldt Park,54351,2209,26528,1799,27823,1805,14151,1544,9843,1268,183,111,778,441,1376,635,0,51,818,580,215,144,44,71,66,112,233,172,0,51,813,472,0,51,0,51,20,59,440,414,307,228,0,51,46,64,0,51,0,51,0,51,679,352,193,278,0,51,0,51,486,191
24,West Town,84087,2008,60013,1689,24074,1615,12725,1306,8163,992,296,206,370,217,769,235,11,63,436,176,112,99,30,70,144,139,36,73,0,62,961,316,52,85,0,62,24,69,236,118,386,256,50,96,181,135,5,62,17,67,10,63,790,354,379,246,110,107,0,62,301,247
25,Austin,98162,2739,89406,2673,8756,1152,4849,1011,2526,668,155,111,81,104,564,326,0,61,154,135,307,248,0,61,8,61,95,152,0,61,424,276,0,61,0,61,0,61,131,146,212,232,0,61,81,101,0,61,0,61,0,61,157,142,0,61,27,69,0,61,130,137
26,West Garfield Park,19377,1316,19137,1311,240,158,133,112,39,46,0,35,0,35,68,87,15,43,0,35,0,35,0,35,0,35,53,84,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35
