area_id,area_name,b17010h001,b17010h001_moe,b17010h002,b17010h002_moe,b17010h003,b17010h003_moe,b17010h004,b17010h004_moe,b17010h005,b17010h005_moe,b17010h006,b17010h006_moe,b17010h007,b17010h007_moe,b17010h008,b17010h008_moe,b17010h009,b17010h009_moe,b17010h010,b17010h010_moe,b17010h011,b17010h011_moe,b17010h012,b17010h012_moe,b17010h013,b17010h013_moe,b17010h014,b17010h014_moe,b17010h015,b17010h015_moe,b17010h016,b17010h016_moe,b17010h017,b17010h017_moe,b17010h018,b17010h018_moe,b17010h019,b17010h019_moe,b17010h020,b17010h020_moe,b17010h021,b17010h021_moe,b17010h022,b17010h022_moe,b17010h023,b17010h023_moe,b17010h024,b17010h024_moe,b17010h025,b17010h025_moe,b17010h026,b17010h026_moe,b17010h027,b17010h027_moe,b17010h028,b17010h028_moe,b17010h029,b17010h029_moe,b17010h030,b17010h030_moe,b17010h031,b17010h031_moe,b17010h032,b17010h032_moe,b17010h033,b17010h033_moe,b17010h034,b17010h034_moe,b17010h035,b17010h035_moe,b17010h036,b17010h036_moe,b17010h037,b17010h037_moe,b17010h038,b17010h038_moe,b17010h039,b17010h039_moe,b17010h040,b17010h040_moe,b17010h041,b17010h041_moe
31,Lower West Side,642,140,106,77,46,58,27,51,0,42,0,42,27,51,19,49,60,62,31,45,8,41,0,42,8,41,0,42,23,46,29,60,0,42,0,42,0,42,0,42,29,60,536,125,329,107,58,50,30,45,4,39,24,49,271,101,207,74,33,43,0,42,0,42,0,42,0,42,33,43,174,69,56,47,0,42,11,44,45,45,118,60
32,Loop,3565,450,80,65,39,43,0,30,0,30,0,30,0,30,39,43,41,54,0,30,0,30,0,30,0,30,0,30,0,30,41,54,14,36,0,30,14,36,0,30,27,51,3485,443,3117,413,699,228,520,213,89,79,90,76,2418,370,368,174,120,98,0,30,0,30,0,30,0,30,120,98,248,140,124,116,27,40,35,59,62,101,124,84
33,Near South Side,2029,347,108,151,95,150,95,150,95,150,0,24,0,24,0,24,13,30,13,30,13,30,13,30,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1921,314,1690,310,614,218,339,180,96,59,179,143,1076,240,231,109,6,19,0,24,0,24,0,24,0,24,6,19,225,109,123,71,53,39,0,24,70,57,102,83
34,Armour Square,380,99,20,32,0,27,0,27,0,27,0,27,0,27,0,27,20,32,20,32,0,27,0,27,0,27,0,27,20,32,0,27,0,27,0,27,0,27,0,27,0,27,360,97,258,84,85,55,13,27,4,26,68,52,173,71,102,66,36,35,0,27,0,27,0,27,0,27,36,35,66,59,46,56,0,27,0,27,46,56,20,33
35,Douglas,214,78,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,214,78,197,76,94,54,47,41,15,38,32,46,103,58,17,34,0,35,0,35,0,35,0,35,0,35,0,35,17,34,12,34,0,35,0,35,12,34,5,34
36,Oakland,87,69,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,87,69,70,62,41,49,0,19,0,19,41,49,29,41,17,31,0,19,0,19,0,19,0,19,0,19,0,19,17,31,17,31,0,19,0,19,17,31,0,19
37,Fuller Park,10,19,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,10,19,10,19,10,19,0,16,0,16,10,19,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,178,85,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,178,85,151,79,84,64,56,61,20,45,8,43,67,64,27,49,0,43,0,43,0,43,0,43,0,43,0,43,27,49,27,49,0,43,10,45,17,48,0,43
39,Kenwood,627,109,34,50,9,33,0,31,0,31,0,31,0,31,9,33,25,49,25,49,25,49,0,31,25,49,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,593,103,552,102,238,71,106,59,60,41,72,43,314,78,41,37,7,31,0,31,0,31,0,31,0,31,7,31,34,37,11,32,0,31,0,31,11,32,23,34
40,Washington Park,4,26,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,4,26,4,26,0,27,0,27,0,27,0,27,4,26,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
